"";916,00;"0199906004";"КОРОБКА ПЕРЕДАЧ";;2,00;0,00;"7.26";0,00;0,00;"2015-01-29"
"";916,00;"0400005133";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".11";0,00;0,00;"2015-01-29"
"";916,00;"0400005233";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".11";0,00;0,00;"2015-01-29"
"";916,00;"0400005333";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".11";0,00;0,00;"2015-01-29"
"";916,00;"0400005433";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".11";0,00;0,00;"2015-01-29"
"";916,00;"0400005533";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".12";0,00;0,00;"2015-01-29"
"";916,00;"0400005633";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".12";0,00;0,00;"2015-01-29"
"";916,00;"0400005733";"УСИЛИТЕЛЬ ПЕДАЛИ АКСЕЛЕРАТОРА 2.6F";".020";2,00;0,00;".12";0,00;0,00;"2015-01-29"
"";916,00;"0400014153";"НАКЛАДКА ПЕДАЛИ ГАЗА";".025";2,00;0,00;"2.38";0,00;0,00;"2015-01-29"
"";916,00;"0400019112";"РЕМКОМПЛЕКТ ЦИЛИНДРА СЦЕПЛЕНИЯ";"1.526";2,00;0,00;"109.55";0,00;0,00;"2015-01-29"
"";916,00;"0400032528";"РЕМКОМПЛЕКТ НАСОСА ОХЛАЖДЕНИЯ";".558";2,00;0,00;"39.83";0,00;0,00;"2015-01-29"
"";916,00;"0400033158";"РЕМК-Т ГЛАВНОГО ТОРМОЗНОГО ЦИЛИНДРА, РЕЗИНА";".008";2,00;0,00;"1.10";0,00;0,00;"2015-01-29"
"";916,00;"0400037138";"ПРУЖИНЫ КОМПЛЕКТ LS600HL";"2.770";2,00;0,00;"130.95";0,00;0,00;"2015-01-29"
"";916,00;"0400037338";"ПРУЖИНЫ КОМПЛЕКТ LS600HL";"2.840";2,00;0,00;"134.26";0,00;0,00;"2015-01-29"
"";916,00;"0400037531";"ПРУЖИНЫ КОМПЛЕКТ LS600HL";"1.675";2,00;0,00;"85.63";0,00;0,00;"2015-01-29"
"";916,00;"0400044212";;"1.890";2,00;0,00;"16.25";0,00;0,00;"2015-01-29"
"";916,00;"0400045141";"КОРПУС ЗАМКА ЗАЖИГАНИЯ";".460";2,00;0,00;"28.29";0,00;0,00;"2015-01-29"
"";916,00;"0400049260";"СБОРОЧНЫЙ КОМПЛЕКТ ДЛЯ РУЛЕВОГО МЕХАНИЗМА";".010";2,00;0,00;".98";0,00;0,00;"2015-01-29"
"";916,00;"0400049360";"РЕМНАБОР ПЕРЕДНЕГО СУППОРТА";".790";2,00;0,00;"26.20";0,00;0,00;"2015-01-29"
"";916,00;"0400049460";"ПРОМЕЖУТОЧНЫЙ РУЛЕВОЙ ВАЛ";"2.840";2,00;0,00;"761.77";0,00;0,00;"2015-01-29"
"";916,00;"0400051106";"ШАЙБА ФОРСУНКИ";".001";2,00;0,00;".96";0,00;0,00;"2015-01-29"
"";916,00;"0400051206";"ШАЙБА ФОРСУНКИ";".001";2,00;0,00;".96";0,00;0,00;"2015-01-29"
"";916,00;"0400054131";"ТРУБКА";"3.150";2,00;0,00;"89.81";0,00;0,00;"2015-01-29"
"";916,00;"0400101120";"ШКИВ КОЛЕНВАЛА";"2.306";2,00;0,00;"45.57";0,00;0,00;"2015-01-29"
"";916,00;"0400104160";"РЕМКОМПЛЕКТ";"1.110";2,00;0,00;"73.69";0,00;0,00;"2015-01-29"
"";916,00;"0400106133";;"4.320";2,00;0,00;"682.81";0,00;0,00;"2015-01-29"
"";916,00;"0400111148";"ЧЕХОЛ ЗАЩИТНЫЙ";".160";2,00;0,00;"7.85";0,00;0,00;"2015-01-29"
"";916,00;"0400111248";"БОКОВАЯ НАКЛАДКА ПАНЕЛИ";".160";2,00;0,00;"7.92";0,00;0,00;"2015-01-29"
"";916,00;"0400126160";"РЕМКОМПЛЕКТ РАЗЪЕМА СОЛЕНОИДА ТНВД !";".038";2,00;0,00;"23.20";0,00;0,00;"2015-01-29"
"";916,00;"0400131147";"РЕМКОМПЛЕКТ";"1.100";2,00;0,00;"30.31";0,00;0,00;"2015-01-29"
"";916,00;"0400137637";;".099";2,00;0,00;"5289.49";0,00;0,00;"2015-01-29"
"";916,00;"0400138237";;".099";2,00;0,00;"54.55";0,00;0,00;"2015-01-29"
"";916,00;"0400151121";"БАЧОК РАСШИРИТЕЛЬНЫЙ";"3.500";2,00;0,00;"93.42";0,00;0,00;"2015-01-29"
"";916,00;"0400213742";;".099";2,00;0,00;"21.56";0,00;0,00;"2015-01-29"
"";916,00;"0400213942";"ПЛАТА БЛОКА УПРАВЛЕНИЯ СТЕКЛОПОДЪЕМНИКАМИ";".100";2,00;0,00;"11.58";0,00;0,00;"2015-01-29"
"";916,00;"0400214142";;;2,00;0,00;"14.57";0,00;0,00;"2015-01-29"
"";916,00;"0400214242";;".110";2,00;0,00;"20.05";0,00;0,00;"2015-01-29"
"";916,00;"0400215152";"РЕМКОМПЛЕКТ СУППОРТА";".092";2,00;0,00;"3.91";0,00;0,00;"2015-01-29"
"";916,00;"0400215242";;".187";2,00;0,00;"12.57";0,00;0,00;"2015-01-29"
"";916,00;"0400218242";"КОНСИСТЕНТНАЯ СМАЗКА (НА 50 А/М)";".130";2,00;0,00;"137.35";0,00;0,00;"2015-01-29"
"";916,00;"0400218342";"ВИНТ";".035";2,00;0,00;"1.69";0,00;0,00;"2015-01-29"
"";916,00;"0400219152";;"3.620";2,00;0,00;"62.45";0,00;0,00;"2015-01-29"
"";916,00;"0400219352";;"3.620";2,00;0,00;"62.84";0,00;0,00;"2015-01-29"
"";916,00;"0400250642";;;2,00;0,00;"4.96";0,00;0,00;"2015-01-29"
"";916,00;"0400264153";"ГАЙКА";".017";2,00;0,00;".53";0,00;0,00;"2015-01-29"
"";916,00;"0400309135";;"1.670";2,00;0,00;"24.50";0,00;0,00;"2015-01-29"
"";916,00;"0400311124";;"1.650";2,00;0,00;"13.44";0,00;0,00;"2015-01-29"
"";916,00;"0400313235";;"1.870";2,00;0,00;"52.77";0,00;0,00;"2015-01-29"
"";916,00;"0400313535";;"1.800";2,00;0,00;"56.83";0,00;0,00;"2015-01-29"
"";916,00;"0400313635";;"1.800";2,00;0,00;"52.10";0,00;0,00;"2015-01-29"
"";916,00;"0400314135";"РЕГУЛЯТОР ДАВЛЕНИЯ ТОПЛИВА";".054";2,00;0,00;"11.71";0,00;0,00;"2015-01-29"
"";916,00;"0400314235";;"1.840";2,00;0,00;"38.28";0,00;0,00;"2015-01-29"
"";916,00;"0400314335";;"1.840";2,00;0,00;"38.28";0,00;0,00;"2015-01-29"
"";916,00;"0400314835";;"1.800";2,00;0,00;"57.46";0,00;0,00;"2015-01-29"
"";916,00;"0400318350";"КОРПУС КЛАПАНОВ";"1.670";2,00;0,00;"271.08";0,00;0,00;"2015-01-29"
"";916,00;"0400318550";"КОРПУС КЛАПАНОВ";"1.574";2,00;0,00;"205.75";0,00;0,00;"2015-01-29"
"";916,00;"0400323147";"РЕМКОМПЛЕКТ";"1.220";2,00;0,00;"15.27";0,00;0,00;"2015-01-29"
"";916,00;"0400334150";"ДАТЧИК КИСЛОРОДА";".230";2,00;0,00;"123.45";0,00;0,00;"2015-01-29"
"";916,00;"0400335147";"КОРПУС ДРОССЕЛЬНОЙ ЗАСЛОНКИ";"1.100";2,00;0,00;"74.24";0,00;0,00;"2015-01-29"
"";916,00;"0400343175";;".700";2,00;0,00;"12.18";0,00;0,00;"2015-01-29"
"";916,00;"0400349133";"КОЖУХ ОТОПИТЕЛЯ";".046";2,00;0,00;"2.93";0,00;0,00;"2015-01-29"
"";916,00;"0400349233";;"1.150";2,00;0,00;"29.18";0,00;0,00;"2015-01-29"
"";916,00;"0400350252";"КРЕПЛЕНИЕ";".346";2,00;0,00;"12.14";0,00;0,00;"2015-01-29"
"";916,00;"0400401106A0";;;2,00;0,00;"32.79";0,00;0,00;"2015-01-29"
"";916,00;"0400401106B0";;;2,00;0,00;"32.79";0,00;0,00;"2015-01-29"
"";916,00;"0400402135";;".580";2,00;0,00;"56.45";0,00;0,00;"2015-01-29"
"";916,00;"0400406160";;".542";2,00;0,00;"6.76";0,00;0,00;"2015-01-29"
"";916,00;"0400406260";;".175";2,00;0,00;"4.10";0,00;0,00;"2015-01-29"
"";916,00;"0400407122";;".170";2,00;0,00;"12.12";0,00;0,00;"2015-01-29"
